x,y,z,ax,ay,az,aw,s,ss
995.847,1139.81,0.0,0.0,0.0,0.16164257471837856,0.9868493694776389,87.44355449671875,0.883540604613012
996.684,1140.1,0.0,0.0,0.0,0.16420578463538002,0.9864261048311116,88.32936994025084,0.8858154435320941
997.101,1140.24,0.0,0.0,0.0,0.16500973509459868,0.9862919381826105,88.7692437858021,0.4398738455512592
998.771,1140.82,0.0,0.0,0.0,0.16811346492444568,0.9857676515848434,90.53709558954579,1.7678518037436788
999.603,1141.11,0.0,0.0,0.0,0.17044081582947335,0.9853679151968484,91.41818809320245,0.8810925036566639
1000.02,1141.26,0.0,0.0,0.0,0.17123960282127007,0.9852294141090255,91.86134607857566,0.4431579853732214
1001.68,1141.86,0.0,0.0,0.0,0.17446885083097854,0.9846626935604486,93.62645230767345,1.7651062290977801
1002.51,1142.17,0.0,0.0,0.0,0.17658828939807053,0.9842848043363583,94.51245456500702,0.8860022573335663
1002.92,1142.32,0.0,0.0,0.0,0.1772882893392867,0.9841589619889408,94.9490321640658,0.43657759905878474
1003.75,1142.63,0.0,0.0,0.0,0.17876615373490912,0.9838915907145598,95.83503442139937,0.8860022573335663
1004.99,1143.1,0.0,0.0,0.0,0.1801534850671636,0.9836385117603699,97.1611188832644,1.326084461865018
1005.82,1143.41,0.0,0.0,0.0,0.1818193540553008,0.9833319492881909,98.04712114059797,0.8860022573335663
1006.64,1143.73,0.0,0.0,0.0,0.18277950241611535,0.9831539317403544,98.9273483839845,0.8802272433865331
1007.88,1144.2,0.0,0.0,0.0,0.18359879412281638,0.9830012628662528,100.25343284584959,1.3260844618650987
1008.7,1144.53,0.0,0.0,0.0,0.18488280924796943,0.9827605745269694,101.1373446061515,0.8839117603019173
1009.52,1144.85,0.0,0.0,0.0,0.1852146977787416,0.9826980796392804,102.01757184953803,0.8802272433865331
1009.93,1145.01,0.0,0.0,0.0,0.1854891116454863,0.982646319619103,102.45768547123134,0.44011362169330787
1011.58,1145.65,0.0,0.0,0.0,0.18710271465714864,0.9823403555631447,104.22745946810225,1.7697739968709079
1012.4,1145.98,0.0,0.0,0.0,0.18767018535634442,0.9822321016584193,105.11137122840407,0.8839117603018117
1012.81,1146.14,0.0,0.0,0.0,0.18751418002554154,0.9822618959775182,105.55148485009738,0.44011362169330787
1014.04,1146.63,0.0,0.0,0.0,0.18786989956363073,0.9821939222159498,106.87549391351048,1.3240090634131074
1014.87,1146.95,0.0,0.0,0.0,0.18751418002554154,0.9822618959775182,107.76504436177073,0.8895504482602588
1015.69,1147.28,0.0,0.0,0.0,0.18899004064488983,0.9819790041223095,108.64895612207265,0.8839117603019173
1016.1,1147.44,0.0,0.0,0.0,0.18887778050332238,0.9820006028675027,109.08906974376596,0.44011362169330787
